EVENT,FOR,WHERE,CITY,STATE,DAY,DATE,CREATED
Comp (Invite),IGC Invitational,,Bristol,CT,Sunday,11/23/2025,
Open Mat,Henry Oberlander Memorial OM,Connors MMA,Norwood,MA,Sunday,11/23/2025,
Seminar,Coach Kia Upperbody Wrestling,Underdog MMA,West Hartford,CT,Tuesday,11/25/2025,
Workshop,Introduction to CLA,Recon MMA,Portland,ME,Wednesday,11/26/2025,
Open Mat,Holiday Open Mat,Unit 232,Littleton,MA,Wednesday,11/26/2025,
Open Mat,Thanksgiving Day Open Mat,Hammer Jiu Jitsu,Fairfield,CT,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,Alliance BJJ,Westborough,MA,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,Underdog MMA,West Hartford,CT,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,Imperium Martial Arts,North Reading,MA,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,CT Combat Training Center,Oakville,CT,Thursday,11/27/2025,
Open Mat,Holiday Open Mat,Ironhold Jiu Jitsu,Agawam,MA,Thursday,11/27/2025,
Open Mat,Holiday Open Mat,Connors MMA,Norwood,MA,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,South Boston BJJ,Boston,MA,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,Versus Jiujitsu,Natick,MA,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,Primal Jiujitsu,Derry,NH,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,Pajama Strangle Time,Providence,RI,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,South Shore Sportfighting,Rockland,MA,Thursday,11/27/2025,
Open Mat,Holiday Open Mat,Precision Jiujitsu,Hudson,NH,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,Giannetti Martial Arts,Whitman,MA,Thursday,11/27/2025,
Open Mat,Thanksgiving Gi Turkey Rolls,Clandestine Submissions,Sanford,ME,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,Flow State Fighting,Tolland,CT,Thursday,11/27/2025,
Open Mat,Thanksgiving Day Open Mat,Seaside Jiu Jitsu,Lynn,MA,Thursday,11/27/2025,
Charity Event,Roll for Jamaica,Integrated Martial Arts,Worcester,MA,Thursday,11/27/2025,
Charity Event,Turkey Roll - Food Drive,Gentle Art Dojo,Chelmsford,MA,Thursday,11/27/2025,
Open House,Holiday Open Mat,CT Submission Grappling,Bridgeport,CT,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Atom JiuJitsu,Newton,MA,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Ironhold Jiu Jitsu,Agawam,MA,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Connors MMA,Norwood,MA,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Radius Martial Arts,Fairfield,CT,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Precision Jiujitsu,Hudson,NH,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Unit 232,Littleton,MA,Friday,11/28/2025,
Open Mat,Black Friday No Gi Open Mat,Clandestine Submissions,Sanford,ME,Friday,11/28/2025,
Women's Only,Women’s Only Open Mat,Bazzani Martial Arts,Nashua,NH,Saturday,11/29/2025,
Seminar,Seminar + Charity Benefit,BTT Boston,Everett,MA,Saturday,11/29/2025,
Seminar,Roberto Maia,Boston BJJ,Woburn,MA,Saturday,11/29/2025,
Open Mat,Holiday Open Mat,DF Fitness,Gloucester,MA,Saturday,11/29/2025,
Comp,Grappling Industries,,Newtown,CT,Saturday,11/29/2025,
Seminar,Murilo Santana,Fit Club BJJ,Fairfield,CT,Sunday,11/30/2025,
Seminar,Sarah Rose,Integrated Martial Arts,Worcester,MA,Monday,12/01/2025,
Seminar,Ace Gonzalez,Whaling City Athletic Club,New London,CT,Tuesday,12/02/2025,
Women's Only,Mat Sisters - Women’s Open Mat,Team Lawton Martial Arts,Farmingdale,ME,Friday,12/05/2025,
Seminar,Diogo “Moreno” Araujo,Fit Club BJJ,Fairfield,CT,Friday,12/05/2025,
Seminar,Pete The Greek Letsos,Clandestine Submissions,Sanford,ME,Friday,12/05/2025,
Seminar,Pete The Greek Letsos,South Boston BJJ,Boston,MA,Saturday,12/06/2025,
Seminar,Mat Santos,USMMA,Bellingham,MA,Saturday,12/06/2025,
Seminar,Hiago George,Fight Sports Boston,New Bedford,MA,Saturday,12/06/2025,
Kids Event,Kids “Kumite” Tournamet,Vermont BJJ Academy,Williston,VT,Saturday,12/06/2025,
Comp (Invite),World Championship Grappling,,Sturbridge,MA,Saturday,12/06/2025,
Comp (Invite),Boston University Invitational,Boston University,Boston,MA,Saturday,12/06/2025,
Women's Only,Women’s Only Open Mat,Radius Martial Arts,Fairfield,CT,Sunday,12/07/2025,
Seminar,Marcelo Siqueira,Off Your Back Academy,Londonderry,NH,Sunday,12/07/2025,
Open Mat,Mega Mat Open Mat,Playground JiuJitsu,E. Providence,RI,Sunday,12/07/2025,
Seminar,Pete The Greek Letsos,Team Santos,Pawtucket,RI,Tuesday,12/09/2025,
Seminar,Rodrigo Gracie,Royce Gracie Academy,Glastonbury,CT,Wednesday,12/10/2025,
Seminar,Pete The Greek Letsos,Worcester MMA,Worcester,MA,Thursday,12/11/2025,
Women's Only,Women’s Only Open Mat,Fenix BJJ,Woburn,MA,Saturday,12/13/2025,
Seminar,Jean “Dalua” Cartagena,Integrated Martial Arts,Worcester,MA,Saturday,12/13/2025,
Seminar,Robert Correa & Celsinho Vinicus,Renzo Gracie Academy,Smithfield,RI,Saturday,12/13/2025,
Comp (Invite),Super Fight for a Cause,,Hyannis,MA,Saturday,12/13/2025,
Women's Only,Women’s Only Open Mat,Balance Point BJJ,Milford,NH,Sunday,12/14/2025,
Seminar,Gabriel Gonzaga,Vaca BJJ,W. Springfield,MA,Sunday,12/14/2025,
Seminar,Mayara Custodio,Blue Collar Jiu Jitsu,Mendon,MA,Sunday,12/14/2025,
Open Mat,Holiday Open Mat,CT Submission Grappling,Bridgeport,CT,Friday,12/19/2025,
Women's Only,Women’s Only Open Mat,Nostros MMA,Somersworth,NH,Saturday,12/20/2025,
Seminar,Fernanda and Michelle,Defensive Edge MMA,Wakefield,MA,Saturday,12/20/2025,
Open House,1 Year Anivsry - Open Mat/BBQ,Atom JiuJitsu,Newton,MA,Saturday,12/20/2025,
Seminar,Joe Moreira,Team Moreira,Biddeford,ME,Sunday,12/21/2025,
Open Mat,Holiday Open Mat,The Dojo,Westport,CT,Wednesday,12/24/2025,
