STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED,LAT,LON
Massachusetts,Gloucester,DF Fitness MA Center,dffitnessmacenter,10:00AM,,,,42.62885,-70.685875
New Hampshire,Salem,New England Top Team,newenglandtopteam,,,,,42.788267,-71.221725
Rhode Island,Johnston,Rising Sun Jiu-Jitsu,risingsunjiujitsu,,,,,41.82744,-71.519879
Rhode Island,Providence,Burke's Martial Arts,burkesmartialarts,,,,,41.823056,-71.418784
Rhode Island,Wakefield,GT Fighting Academy,gtfightingacademy,9:00AM,9:00AM,,,41.446096,-71.500318
Massachusetts,Ashland,SoulFight Jiu Jitsu,soulfightjiujitsu,,11:00AM,,,42.257755,-71.473526
Massachusetts,Westfield,Team Link Westfield,teamlinkwestfield,,,,,42.138838,-72.755911
New Hampshire,Rochester,Forged Self Defense,forgedselfdefense,,,,,43.298493,-70.977005
Maine,Oakland,Bear Clan JiuJitsu,bearclan_jiujitsu,11:00AM,,,,44.579276,-69.733234
Connecticut,New Britain,Heavy Hitters Club,heavyhitters.club,,,,,41.676555,-72.786161
Massachusetts,Southbridge,Mom's Basement MMA,moms_basement_mma,10:00AM,11:00AM,y,,42.059737,-72.033908
Maine,South Portland,Southern Maine BJJ,southernmaine_bjj,,,,,43.631402,-70.285989
New Hampshire,Rochester,Sanders Jiu Jitsu,sandersbjjacademy,,10:00AM,,,43.298493,-70.977005
Vermont,Hardwick,Kingdom Jiu-Jitsu,kingdom.jiu.jitsu,9:45AM,4:00PM,,,44.519932,-72.348176
Connecticut,North Franklin,Rogers Academy,rogersmartialarts,,,,,41.621212,-72.142609
Maine,Farmington,Foundry BJJ,foundryfarmington,,,,,44.676935,-70.141491
Massachusetts,Tewksbury,Fenix BJJ,fenixbjjtewksbury,,10:00AM,,,42.612088,-71.227845
Connecticut,Monroe,Cruvinel Brothers,cruvinelbrothers,,,,,41.339236,-73.222828
Connecticut,Tolland,Secret Pages BJJ,secret_pages_bjj,9:00AM,,y,,41.883019,-72.358869
Massachusetts,Hanover,Thurston Academy,thurston_academy,,10:00AM,,,42.122956,-70.85631
Massachusetts,Natick,Versus Jiu-Jitsu Academy,versusjiujitsuma,12:00PM,,,,42.284822,-71.348811
Massachusetts,Nantucket,Werdum Training Center,werdum.nantucket,12:30PM,,,,41.293392,-70.102164
New Hampshire,Littleton,Fenix Highlanders Club,fenixhighlanders,,9:00AM,,,44.343351,-71.795118
Massachusetts,Hudson,Upper Level JiuJitsu,upperlevelhudson,,4:00PM,,,42.389071,-71.545864
New Hampshire,Nashua,Karasu Tengu Academy,ktacademy_nashua,,,,,42.749074,-71.490544
Massachusetts,Millis,Mohawk Martial Arts,mohawmartialarts,9:00AM,,,,42.173103,-71.363756
Connecticut,Manchester,Team Legacy 860 MMA,teamlegacy860mma,,,,,41.77524,-72.524434
Massachusetts,Devens,Mass BJJ The Valley,massbjjthevalley,,9:00AM,,,42.543366,-71.614028
Massachusetts,Wakefield,Team Fight Academy,teamfightacademy,12:00PM,,,,42.504361,-71.064061
Connecticut,Shelton,Endure BJJ Academy,endurebjjacademy,,,,,41.304577,-73.139215
Massachusetts,Plainville,Darkside Jiu-Jitsu,darksidejiujitsu,,,,,42.012838,-71.336188
Massachusetts,South Boston,Broadway Jiu-Jitsu,broadwayjiujitsu,,,,,42.338551,-71.018253
New Hampshire,Milford,Balance Point BJJ,balancepoint.bjj,,,,,42.818645,-71.673354
Massachusetts,Sandwich,Forge Jiu-Jitsu,_forge_jiujitsu_,,,,,41.7132,-70.485737
Massachusetts,Vineyard Haven,Blitz Fitness,blitzfitnessofmv,,,,,41.457176,-70.607459
Massachusetts,Holden,Squared BJJ,squaredbjjholden,,,,,42.355801,-71.862574
Massachusetts,Medford,Mau Mau BJJ,maumaubjjacademy,,,,,42.423844,-71.109231
Massachusetts,Danvers,BTT North Shore,btt_north_shore,,,,,42.574174,-70.950516
Massachusetts,Lynn,Seaside Jiu-Jitsu/BTT Lynn,seasidejiujitsu,,,,,42.474766,-70.962035
Maine,South Portland,Gracie Barra South Portland,gbsouthportland,,8:00AM,,,43.631402,-70.285989
Massachusetts,Marlborough,Exodus Brazilian Jiu Jitsu,exodus.jiujitsu,8:30AM,8:30AM,,,42.349617,-71.547214
