STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED
Massachusetts,Boston,Citadel Martial Arts & Fitness,citadelmartialarts,,,,
Massachusetts,Boston (Dorchester),Level Ground Mixed Martial Arts,levelgroundmma,,,,
Massachusetts,Boston (Jamaica Plain),JP Martial Arts Academy,jpmartialartsacademy,,,,
Massachusetts,Bridgewater,Brazilian Jiu-Jitsu at BSU,bjj_bsu,,,,
Massachusetts,Canton,Lauzon MMA,lauzonmmacanton,,,,
Massachusetts,Charlton,Gracie Brazilian Jiu Jitsu and Fitness,hondojjusa,,,,
Massachusetts,Chelmsford,Gentle Art Dojo (Chelmsford),gadchelmsford,,,,
Massachusetts,Danvers,Brazilian Top Team North Shore,btt_north_shore,,,,
Massachusetts,Dedham,Gracie Jiu Jitsu Dedham,graciejiujitsudedham,,,,
Massachusetts,Devens,Mass BJJ The Valley,massbjjthevalley,,,,
Massachusetts,Easthampton,New City Jiujitsu,newcityjiujitsu,,,,
Massachusetts,Fairhaven,Danny Savery BJJ,dannysaverybjjfairhaven,,,,
Massachusetts,Falmouth,Daniel Gracie Academy Falmouth,danielgraciefalmouth,,,,
Massachusetts,Fitchburg,Newaza BJJ Club,newazajiujitsu,,,,
Massachusetts,Framingham,Alliance Jiu Jitsu Framingham,alliancejiujitsuframingham,,,,
Massachusetts,Framingham,Dragon Lair MMA,dragon_lair_mma,,,,
Massachusetts,Gloucester,Sakura Jiu Jitsu,sakura_bjj_ma,,,,
Massachusetts,Gloucester,DF Fitness MA Center,dffitnessmacenter,,,,
Massachusetts,Hanover,Torrent Brazilian Jiu-Jitsu,torrent_bjj,,,,
Massachusetts,Hanover,Daniel Gracie Academy Hanover,danielgraciehanover,,,,
Massachusetts,Haverhill,Binda Jiu Jitsu,bindajiujitsu,,,,
Massachusetts,Holden,Squared BJJ,squaredbjjholden,,,,
Massachusetts,Hudson,Hudson Combat Academy,hudsoncombatacademy,,,,
Massachusetts,Hyannis,Brazilian Top Team Cape Cod,bttcapecod,,,,
Massachusetts,Hyannis,Daniel Gracie Academy Hyannis,danielgraciehyannis,,,,
Massachusetts,Hyannis,Sardinha BJJ,sardinhabjjcapecod,,,,
Massachusetts,Hyannis,Hyannis Mixed Martial Arts,hyannis_mixed_martial_arts,,,,
Massachusetts,Lakeville,Lakeville MMA Club,lakevillemma,,,,
Massachusetts,Leominster,Squared BJJ,squaredbjjleominster,,,,
Massachusetts,Leominster,Cesario Team,bjjleominster,,,,
Massachusetts,Littleton,Gentle Art Dojo (Littleton),gadlittleton,,,,
Massachusetts,Lowell,River Hawk Brazilian Jiu Jitsu (UMass Lowell),umlbjj,,,,
